id,name,zipcode,smart_location,country,latitude,longitude
22375770,Private room in El Gotico area,8002,"Barcelona, Spain",Spain,41.38064,2.17771
22381473,Room in the heart of Barcelona - Born,8003,"Barcelona, Spain",Spain,41.38617,2.17904
22382152,Beautiful sailing boat in the heart of Barcelona,8005,"Barcelona, Spain",Spain,41.39384,2.19388
22382752,Doble room in the heart of BCN - Born,8003,"Barcelona, Spain",Spain,41.38659,2.17862
22383062,Room with Private Bathroom,8001,"Barcelona, Spain",Spain,41.37811,2.16623
22395831,APBCN Bright and Charming Apartment 1-1,8013,"Barcelona, Spain",Spain,41.39666,2.17643
22396050,APBCN Bright and Charming Apartment 2-2,8013,"Barcelona, Spain",Spain,41.39711,2.17499
22400623,Cozy room for two near the center of Barcelona,8004,"Barcelona, Spain",Spain,41.37181,2.16137
22409751,The Classic Apartment,8009,"Barcelona, Spain",Spain,41.39696,2.17127
22432898,Barcelona Best Sea Views,8003,"Barcelona, Spain",Spain,41.37611,2.19063
22441576,"Bright & Centric, Close to Ramblas, Leafy Terrace",8001,"Barcelona, Spain",Spain,41.38111,2.17145
22452714,El Loft de Marta y Quim,8015,"Barcelona, Spain",Spain,41.37821,2.15912
22453174,Vive como un barcelonés en la mejor ubicación,8004,"Barcelona, Spain",Spain,41.37262,2.16733
22463954,Amazing lovely design place close to P de Gracia,8009,"Barcelona, Spain",Spain,41.39462,2.17006
22475335,Nou De Rambla 3C,8004,"Barcelona, Spain",Spain,41.37373,2.16869
22484107,Hogar familiar y tranquilo,8019,"Barcelona, Spain",Spain,41.4158,2.21332
22488537,NEW CHARMING FLAT NEXT TO RAMBLAS. DAILY CLEANING!,8001,"Barcelona, Spain",Spain,41.38335,2.16368
22522166,CENTER TOWN,8003,"Barcelona, Spain",Spain,41.38598,2.18074
22531385,Room for 3! Beach! I PA,8019,"Barcelona, Spain",Spain,41.41318,2.2196
22540691,2599 - AB Sants Terrace 2 - Modern Apartment with a Large Private Terrace,8028,"BARCELONA, Spain",Spain,41.37224,2.13066
22545068,Habitación privada con cama doble en Poble Sec,,"Barcelona, Spain",Spain,41.37622,2.16389
22557823,1627 - AB Sagrada Família Ptge Bocabella - Spacious 3-Bedroom Eixample Apartment with a Balcony near the Sagrada Família,8013,"BARCELONA, Spain",Spain,41.3959,2.17614
22559864,Double bedroom in el Raval,8001,"Barcelona, Spain",Spain,41.38263,2.16537
22564260,bright room,,"Barcelona, Spain",Spain,41.4143,2.21836
22564963,Penthouse suite and xtra room upper side Barcelona,8036,"Barcelona, Spain",Spain,41.40427,2.13723
22576183,Sunny modernism room,8009,"Barcelona, Spain",Spain,41.39761,2.16993
22576919,Sweet Dreams. Barcelona 2018,8018,"Barcelona, Spain",Spain,41.40139,2.19922
22592170,"Room in Barcelona, Paral·lel",8004,"Barcelona, Spain",Spain,41.37184,2.16531
22594095,Sunny bedroom w private bathroom and nice view,8013,"Barcelona, Spain",Spain,41.40461,2.17993
22600241,"JOLI ESPACE AU CENTRE BCN , 2 CHAMBRES, PRIVÉ",8015,"Barcelona, Spain",Spain,41.3775,2.15485
22603850,Bright Double Bedroom in heart of El Born,8003,"Barcelona, Spain",Spain,41.38943,2.1805
22608577,LARGE ROOM NEXT GRACIA  NEIGHBORHOOD,8024,"Barcelona, Spain",Spain,41.41303,2.16353
22613282,BCN Center Big Bed +A/C+ Balcony + Desk+WIFI,8014,"Barcelona, Spain",Spain,41.37586,2.14459
22626206,Charming Apartment in Poblesec,8004,"Barcelona, Spain",Spain,41.37282,2.16635
22626822,Habitación individual privada bien situada,8041,"Barcelona, Spain",Spain,41.41841,2.17514
22631583,Barcelona Minimalist Bunkbed Room Sants,8014,"Barcelona, Spain",Spain,41.37232,2.1379
22632565,Double charming room in Gothic area,8002,"Barcelona, Spain",Spain,41.37952,2.17886
22646263,Big Bedroom with two separate beds,8009,"Barcelona, Spain",Spain,41.39719,2.16983
22647205,Cozy & charming Duplex Sagrada Familia area,8026,"Barcelona, Spain",Spain,41.41183,2.17718
22653264,TRAMUNTANA ROOM & MESTRAL ROOM,8015,"Barcelona, Spain",Spain,41.38415,2.15337
22660625,Cozy bedroom in bright apartment,8032,"Barcelona, Spain",Spain,41.42976,2.15962
22666588,Big Apartment in Barcelona,8028,"Barcelona, Spain",Spain,41.37296,2.13295
22668646,Sunny penthouse with Barcelona views for 4!,8003,"Barcelona, Spain",Spain,41.38524,2.18083
22678339,"Spacious  Sagrada Familia 4BR, 2BA",8013,"Barcelona, Spain",Spain,41.40301,2.17903
22678858,"NEW City Center , 5 mins to Plaza Catalunya",8011,"Barcelona, Spain",Spain,41.3833,2.16146
22683763,Habitacion con Terraza con vistas maravillosas sobre la Montaña,8035,"83-93, Spain",Spain,41.42472,2.12183
22683764,Habitacion con Terraza vista maravillosas sobre Barcelona y el mar,8035,"83-93, Spain",Spain,41.42455,2.12003
22694764,Luminous Borne Millenium,8003,"Barcelona, Spain",Spain,41.38873,2.17775
22698444,海边公寓,8019,"Barcelona, Spain",Spain,41.41174,2.20793
22704430,Céntrica y tranquila,8010,"Barcelona, Spain",Spain,41.39295,2.17474
22709936,Central room 5 minutes from the beach with balcony,8005,"Barcelona, Spain",Spain,41.39674,2.19985
22728101,Beautiful apartment 2 minutes from the beach,8005,"Barcelona, Spain",Spain,41.39942,2.20698
22729222,Bonito apartamento en el poble sec,8004,"Barcelona, Spain",Spain,41.37129,2.15967
22737915,Cosy Single Room next to Arc de Triomf,8013,"Barcelona, Spain",Spain,41.39385,2.17812
22739042,Olympic Apartment,8005,"Barcelona, Spain",Spain,41.39501,2.19066
22740570,"2 bedrooms, stylish, central, shared terrace, AC",8008,"Barcelona, Spain",Spain,41.39776,2.15801
22740986,"Stylish, 1 bedroom, 1 bath, central, terrace, AC",8008,"Barcelona, Spain",Spain,41.3981,2.15845
